"cue","response","correction"
"orgullo","satifaccion","satifacción"
"limpieza","satifacion","satisfacción"
"llegada","satusfaccion","satisfacción"
"finalizar","sesion","sesión"
"organización","sincronizacion","sincronización"
"rincón","sofà","sofá"
"satélite","sputnik","Sputnik"
"dormir","suenõ","sueño"
"suspender","suspencion","suspensión"
"señal","sìmbolo","símbolo"
"virtual","tecnologico","tecnológico"
"aprovechamiento","tirrras","tierras"
"delito","transgrecion","transgresión"
"garganta","traqueA","traquea"
"asiento","ubicacion5","ubicación"
"quinta","ubicasion","ubicación"
"pintor","van Gogh","Van Gogh"
"pintor","van gogh","Van Gogh"
"pintura","van gogh","Van Gogh"
"jardín","vejetacion","vegetación"
"dirigente","´lider","líder"
"vacaciones","´sol","sol"
"gato","àgil","ágil"
"cepa","covid","coronavirus"
"fiebre","Covid19","coronavirus"
"agarro","covid","coronavirus"
"agravar","covid19","coronavirus"
"aislarse","covid","coronavirus"
"aislarse","covid19","coronavirus"
"antihigiénico","covid","coronavirus"
"barbijo","covid","coronavirus"
"cuarentena","covid","coronavirus"
"deceso","covid","coronavirus"
"desinfectante","covid","coronavirus"
"enfermedad","covid","coronavirus"
"enfermeros","covid","coronavirus"
"exponencial","covid","coronavirus"
"fallecidos","covid","coronavirus"
"incubación","covid","coronavirus"
"medicación","covid","coronavirus"
"microorganismo","covid","coronavirus"
"pandemia","covid","coronavirus"
"pandemia","Covid","coronavirus"
"toque de queda","covid","coronavirus"
"toque de queda","covid19","coronavirus"
"plasma","covid","coronavirus"
"juntarse","Covid19","coronavirus"
"barbijo","COVID 19","coronavirus"
"wifi","covid","coronavirus"
"temblar","covid","coronavirus"
"lavandina","covid19","coronavirus"
"incertidumbre","covid","coronavirus"
"virtual","clase","clases"
"virtual","clases virtuales","clases"
"alcohol","gek","gel"
"alcohol","etilixo","etílico"
"ómnibus","colectivo","ómnibus"
"tren","colectivo","ómnibus"
"atrasado","colectivo","ómnibus"
"convivencia","colectivo","ómnibus"
"esperar","colectivo","ómnibus"
"jugar","colectivo","ómnibus"
"línea","colectivo","ómnibus"
"lleno","colectivo","ómnibus"
"viajes","colectivo","ómnibus"
"cloro","pileta","piscina"
"quinta","pileta","piscina"
"traje de baño","pileta","piscina"
"verano","pileta","piscina"
"ojotas","pileta","piscina"
"fondo","pileta","piscina"
"mojada","pileta","piscina"
"club","pileta","piscina"
"agua","pileta","piscina"
"baño","pileta","piscina"
"amigos","pileta","piscina"
"cálido","pileta","piscina"
"campamento","pileta","piscina"
"colonia","pileta","piscina"
"descalzo","pileta","piscina"
"dieta","pileta","piscina"
"jardín","pileta","piscina"
"largo","pileta","piscina"
"pi","pileta","piscina"
"plancha","pileta","piscina"
"sapo","pileta","piscina"
"vacaciones","pileta","piscina"
"cine","pochoclo","pop"
"películas","pochoclo","pop"
"maíz","pochoclo","pop"
"grano","pochoclo","pop"
"pato","pochoclo","pop"
"protocolo","pochoclo","pop"
"salado","pochoclo","pop"
"lente","anteojos","lentes"
"abuela","anteojos","lentes"
"lector","anteojos","lentes"
"vista","anteojos","lentes"
"científicos","anteojos","lentes"
"cristal","anteojos","lentes"
"experto","anteojos","lentes"
"matemático","anteojos","lentes"
"visión","anteojos","lentes"
"intelecto","anteojos","lentes"
"observación","anteojos","lentes"
"ojo","anteojos","lentes"
"revisión","anteojos","lentes"
"colonia","departamento","apartamento"
"piso","departamento","apartamento"
"salto","departamento","apartamento"
"durazno","departamento","apartamento"
"balcón","departamento","apartamento"
"propiedad","departamento","apartamento"
"casa","departamento","apartamento"
"capital","departamento","apartamento"
"convivencia","departamento","apartamento"
"asalto","departamento","apartamento"
"contrato","departamento","apartamento"
"división","departamento","apartamento"
"encierro","departamento","apartamento"
"estado","departamento","apartamento"
"gabinete","departamento","apartamento"
"mapa","departamento","apartamento"
"país","departamento","apartamento"
"pijama","departamento","apartamento"
"soltero","departamento","apartamento"
"territorio","departamento","apartamento"
"torre","departamento","apartamento"
"vender","departamento","apartamento"
"colegio","secundaria","liceo"
"profesores","secundaria","liceo"
"ecuación","secundaria","liceo"
"oración","secundaria","liceo"
"tos","secundaria","liceo"
"universidad","secundaria","liceo"
"colegio","secundario","liceo"
"ecuaciones","secundario","liceo"
"estudiante","secundario","liceo"
"grado","secundario","liceo"
"historia","secundario","liceo"
"profesores","secundario","liceo"
"arena","ojotas","chancletas"
"descalzo","ojotas","chancletas"
"verano","ojotas","chancletas"
"cloro","agua jane","lavandina"
"lavandina","agua jane","lavandina"
"cerveza","birra","cerveza"
"barra","birra","cerveza"
"alcohol","birra","cerveza"
"balcón","birra","cerveza"
"barril","birra","cerveza"
"celebración","birra","cerveza"
"cena","birra","cerveza"
"cóctel","birra","cerveza"
"juntarse","birra","cerveza"
